"Ally's computer as server: i7-6560U 2.20 GHz CPU, 16 GB RAM",,,,,,,
t0,t1,offsetted t1,network client-server (ms),t2 (=t1+processing delay),network server-client + playout (ms),t4,total delay (t4-t0) (ms)
1574766520,1574766519,1574766520,93.36996078,1574766520,188.8201237,1574766520,332.1900368
1574766531,1574766531,1574766531,186.3398552,1574766531,51.46002769,1574766531,287.7998352
1574766539,1574766538,1574766539,142.2600746,1574766539,255.7899952,1574766539,448.0500221
1574766544,1574766543,1574766544,93.71995926,1574766544,240.1101589,1574766544,383.8300705
1574766549,1574766548,1574766549,93.76978874,1574766549,237.4801636,1574766550,381.2499046
1574766554,1574766554,1574766554,113.3201122,1574766554,256.9301128,1574766555,420.2501774
1574766559,1574766558,1574766559,92.71979332,1574766559,229.2401791,1574766559,371.9599247
1574766564,1574766563,1574766564,94.13003922,1574766564,175.31991,1574766564,319.4499016
1574766570,1574766569,1574766570,94.16985512,1574766570,202.6002407,1574766570,346.7700481
1574766574,1574766574,1574766575,93.93978119,1574766575,140.7401562,1574766575,284.6798897
1574766579,1574766579,1574766580,92.39983559,1574766580,147.3002434,1574766580,289.7000313
1574766584,1574766584,1574766585,154.0899277,1574766585,93.73998642,1574766585,297.8298664
1574766589,1574766589,1574766589,92.94986725,1574766589,223.3200073,1574766590,366.2698269
1574766594,1574766593,1574766594,92.61989594,1574766594,150.7101059,1574766594,293.3299541
1574766598,1574766598,1574766599,128.5998821,1574766599,127.2001266,1574766599,305.7999611
1574766603,1574766603,1574766603,92.7400589,1574766603,178.6499023,1574766604,321.3899136
1574766608,1574766607,1574766608,94.10977364,1574766608,205.520153,1574766608,349.629879
1574766613,1574766612,1574766613,118.7598705,1574766613,188.7800694,1574766613,357.5398922
1574766618,1574766617,1574766618,93.20998192,1574766618,192.1300888,1574766618,335.340023
1574766622,1574766621,1574766622,92.1599865,1574766622,165.5099392,1574766622,307.669878
1574766627,1574766626,1574766627,115.639925,1574766627,186.2900257,1574766627,351.929903
1574766633,1574766632,1574766633,92.26989746,1574766633,228.7900448,1574766633,371.0598946
1574766638,1574766637,1574766638,91.91989899,1574766638,196.4201927,1574766638,338.340044
1574766643,1574766642,1574766643,122.4999428,1574766643,156.5201283,1574766644,329.0200233
1574766649,1574766648,1574766649,91.87984467,1574766649,154.9401283,1574766649,296.8199253
1574766653,1574766653,1574766653,92.14997292,1574766654,268.6300278,1574766654,410.779953
1574766658,1574766657,1574766658,92.679739,1574766658,194.8502064,1574766658,337.5298977
1574766663,1574766662,1574766663,91.52007103,1574766663,129.6100616,1574766663,271.130085
1574766668,1574766667,1574766668,92.75007248,1574766668,121.6900349,1574766668,264.4400597
1574766672,1574766672,1574766672,95.83997726,1574766672,171.020031,1574766673,316.8599606
1574766677,1574766676,1574766677,92.36001968,1574766677,171.1702347,1574766677,313.5302067
1574766681,1574766681,1574766682,91.79997444,1574766682,229.7501564,1574766682,371.5500832
1574766686,1574766685,1574766686,92.7798748,1574766686,213.7303352,1574766686,356.5101624
1574766690,1574766690,1574766690,93.82987022,1574766691,195.4801083,1574766691,339.3099308
1574766695,1574766694,1574766695,92.10991859,1574766695,199.2499828,1574766695,341.3598537
1574766699,1574766699,1574766699,91.70985222,1574766700,128.4000874,1574766700,270.1098919
1574766704,1574766704,1574766705,93.75,1574766705,213.5500908,1574766705,357.3000431
1574766709,1574766708,1574766709,196.9001293,1574766709,143.4400082,1574766709,390.3400898
