George's computer as server,,,,,,,
t0,t1,offsetted t1,t1-t0 (ms),t2 (=t1+processing delay),t4-t2,t4,total delay (t4-t0) (ms)
1574782844,1574782844,1574782844,79.69999313,1574782844,9.049892426,1574782844,93.75
1574782849,1574782849,1574782849,77.49009132,1574782849,0.799894333,1574782849,83.2901001
1574782853,1574782853,1574782853,77.80003548,1574782853,59.02981758,1574782854,141.8299675
1574782858,1574782858,1574782858,78.70006561,1574782858,-7.360219955,1574782858,76.3399601
1574782862,1574782862,1574782863,77.96025276,1574782863,36.2496376,1574782863,119.2100048
1574782867,1574782867,1574782867,77.76999474,1574782867,18.37992668,1574782867,101.1500359
1574782871,1574782871,1574782871,150.9101391,1574782871,-44.98028755,1574782871,110.929966
1574782875,1574782875,1574782875,77.69012451,1574782875,68.9997673,1574782875,151.6900063
1574782880,1574782880,1574782880,145.3502178,1574782880,-63.60030174,1574782880,86.75003052
1574782884,1574782884,1574782884,78.24993134,1574782884,81.94994926,1574782884,165.199995
1574782889,1574782889,1574782889,77.62002945,1574782889,7.599830627,1574782889,90.21997452
1574782893,1574782893,1574782893,98.53005409,1574782893,44.36993599,1574782893,147.9001045
1574782897,1574782897,1574782897,78.36008072,1574782897,-28.87010574,1574782897,54.49008942
1574782901,1574782901,1574782901,126.2800694,1574782901,-8.400201797,1574782901,122.879982
1574782904,1574782904,1574782905,78.19986343,1574782905,63.560009,1574782905,146.7599869
1574782908,1574782908,1574782908,86.33995056,1574782908,-17.86017418,1574782908,73.47989082
1574782912,1574782912,1574782912,79.58006859,1574782912,40.32969475,1574782912,124.9098778
1574782916,1574782916,1574782916,77.51011848,1574782916,3.18980217,1574782916,85.7000351
1574782921,1574782920,1574782921,77.63004303,1574782921,-0.470161438,1574782921,82.15999603
1574782925,1574782925,1574782925,155.0500393,1574782925,-41.21017456,1574782925,118.8399792
1574782929,1574782929,1574782929,77.8901577,1574782929,4.43983078,1574782929,87.33010292
1574782933,1574782933,1574782933,77.53992081,1574782933,26.20983124,1574782933,108.7498665
1574782937,1574782937,1574782937,77.48007774,1574782937,68.53985786,1574782937,151.02005
1574782942,1574782941,1574782942,77.63004303,1574782942,39.01982307,1574782942,121.6499805
1574782945,1574782945,1574782946,90.06023407,1574782946,22.55964279,1574782946,117.6199913
1574782950,1574782949,1574782950,78.46999168,1574782950,20.66993713,1574782950,104.1400433
1574782953,1574782953,1574782953,108.4401608,1574782953,6.559848785,1574782953,120.000124
1574782957,1574766662,1574766663,-16294929.37,1574766663,16295075.11,1574782958,150.7399082
1574782962,1574782962,1574782962,123.1400967,1574782962,-41.11003876,1574782962,87.03017235
1574782966,1574782966,1574782966,77.78000832,1574782966,77.16989517,1574782966,159.9500179
1574782971,1574782971,1574782971,78.64999771,1574782971,48.12979698,1574782971,131.7799091
1574782975,1574782975,1574782975,139.070034,1574782975,23.98991585,1574782975,168.0600643
1574782980,1574782980,1574782980,77.65007019,1574782980,43.75004768,1574782980,126.4002323
1574782985,1574782985,1574782985,77.62002945,1574782985,9.189844131,1574782985,91.80998802
1574782989,1574782989,1574782989,78.71007919,1574782989,14.27984238,1574782989,97.99003601
1574782993,1574782993,1574782993,77.65984535,1574782993,54.79001999,1574782993,137.4499798
1574782998,1574782998,1574782998,189.3701553,1574782998,-61.95020676,1574782998,132.420063
1574783002,1574783001,1574783002,77.62026787,1574783002,-17.33016968,1574783002,65.29021263
1574783005,1574783005,1574783006,195.0502396,1574783006,-129.2202473,1574783005,70.83010674
1574783009,1574783009,1574783009,77.99005508,1574783009,0.109910965,1574783009,83.10008049
1574783013,1574783013,1574783013,77.75998116,1574783013,29.22987938,1574783013,111.989975
1574783017,1574783017,1574783017,77.64005661,1574783017,41.96000099,1574783017,124.600172
